10:16:49.784 | Info | '/transaction/createGenerateBills' | 
10:16:50.130 | Info | ({}) | 
10:19:34.033 | Info | '/transaction/createGenerateBills' | 
10:19:34.293 | Info | ({}) | 
10:21:47.117 | Info | '/transaction/createGenerateBills' | 
10:21:47.444 | Info | ({}) | 
10:23:48.498 | Info | '/transaction/createGenerateBills' | 
10:23:48.787 | Info | ({}) | 
10:25:22.082 | Info | '/transaction/createGenerateBills' | 
10:25:22.337 | Info | ({}) | 
10:25:51.501 | Info | '/transaction/createGenerateBills' | 
10:31:38.863 | Info | '/transaction/createGenerateBills' | 
10:32:03.454 | Info | '/transaction/createGenerateBills' | 
10:32:03.926 | Info | ({}) | 
10:33:26.800 | Info | '/transaction/createGenerateBills' | 
10:33:27.064 | Info | ({}) | 
10:34:31.091 | Info | '/transaction/createGenerateBills' | 
10:34:31.362 | Info | ({}) | 
10:36:28.736 | Info | '/transaction/createGenerateBills' | 
10:36:29.026 | Info | ({}) | 
10:42:52.464 | Info | '/transaction/createGenerateBills' | 
10:42:52.777 | Info | ({}) | 
10:44:29.186 | Info | '/transaction/createGenerateBills' | 
10:44:29.528 | Info | ({}) | 
10:45:54.978 | Info | '/transaction/createGenerateBills' | 
10:45:55.026 | Info | ({'code':'MODULE_NOT_FOUND','requireStack':['C:\\Users\\Ibm\\Downloads\\E-DMS\\backend\\NodeJSBoiler\\app.js','C:\\Users\\Ibm\\Downloads\\E-DMS\\backend\\NodeJSBoiler\\bin\\www']}) | 
10:46:28.306 | Info | '/transaction/GenerateBills' | 
10:46:28.323 | Info | ({'code':'MODULE_NOT_FOUND','requireStack':['C:\\Users\\Ibm\\Downloads\\E-DMS\\backend\\NodeJSBoiler\\app.js','C:\\Users\\Ibm\\Downloads\\E-DMS\\backend\\NodeJSBoiler\\bin\\www']}) | 
10:47:19.582 | Info | '/transaction/GenerateBills' | 
10:47:19.775 | Info | ({}) | 
10:48:11.491 | Info | '/transaction/createGenerateBills' | 
10:48:11.733 | Info | ({}) | 
10:48:49.498 | Info | '/transaction/createGenerateBills' | 
10:49:12.240 | Info | '/transaction/createGenerateBills' | 
10:49:41.261 | Info | '/transaction/createGenerateBills' | 
10:49:41.656 | Info | ({}) | 
10:50:56.084 | Info | '/transaction/createGenerateBills' | 
10:50:56.318 | Info | ({}) | 
10:51:53.040 | Info | '/transaction/createGenerateBills' | 
10:51:53.308 | Info | ({}) | 
10:53:42.407 | Info | '/transaction/createGenerateBills' | 
10:53:42.723 | Info | ({}) | 
10:54:43.120 | Info | '/transaction/createGenerateBills' | 
10:54:43.431 | Info | ({}) | 
10:55:17.672 | Info | '/transaction/createGenerateBills' | 
10:55:17.927 | Info | ({}) | 
