00:53:14.967 | Info | '/transaction/getCustomerType' | 
00:54:12.155 | Info | '/transaction/getCustomerType' | 
00:54:13.609 | Info | '/transaction/getCustomerType' | 
00:54:26.018 | Info | '/transaction/getCustomerType' | 
00:54:46.228 | Info | '/transaction/getCustomerType' | 
00:54:48.130 | Info | '/transaction/getDeviceType' | 
00:54:49.504 | Info | '/transaction/getCustomerType' | 
00:55:18.736 | Info | '/transaction/createCustomerType' | 
00:55:18.743 | Info | '/transaction/getCustomerType' | 
00:55:21.953 | Info | '/transaction/getDeviceType' | 
00:55:23.581 | Info | '/transaction/getCustomerType' | 
00:55:26.577 | Info | '/transaction/getCustomerType' | 
00:56:13.975 | Info | '/transaction/getDeviceType' | 
00:58:36.999 | Info | '/transaction/getDeviceType' | 
00:58:40.176 | Info | '/transaction/getCustomerType' | 
00:58:56.841 | Info | '/transaction/createCustomerType' | 
00:58:56.874 | Info | '/transaction/getCustomerType' | 
00:59:09.311 | Info | '/transaction/createCustomerType' | 
00:59:09.368 | Info | '/transaction/getCustomerType' | 
00:59:13.219 | Info | '/transaction/getCustomerType' | 
00:59:15.336 | Info | '/transaction/getDeviceType' | 
00:59:17.400 | Info | '/transaction/getCustomerType' | 
00:59:57.920 | Info | '/transaction/getCustomerType' | 
01:00:17.264 | Info | '/transaction/createCustomerType' | 
01:00:17.305 | Info | '/transaction/getCustomerType' | 
01:01:14.632 | Info | '/transaction/getCustomerType' | 
01:01:21.651 | Info | '/transaction/createCustomerType' | 
01:01:21.692 | Info | '/transaction/getCustomerType' | 
01:01:37.892 | Info | '/transaction/getCustomerType' | 
01:05:59.931 | Info | '/transaction/createCustomerType' | 
01:06:14.024 | Info | '/transaction/getCustomerType' | 
01:09:07.312 | Info | '/transaction/createCustomerType' | 
01:09:53.922 | Info | '/transaction/getCustomerType' | 
01:11:14.395 | Info | '/transaction/createCustomerType' | 
01:15:54.040 | Info | '/transaction/getCustomerType' | 
01:16:09.074 | Info | '/transaction/getNetworkType' | 
01:19:35.546 | Info | '/transaction/createNetworkType' | 
01:19:35.556 | Info | ({'message':'Column \'name\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'name\' cannot be null'}) | 
01:19:45.860 | Info | '/transaction/createCustomerType' | 
01:20:01.147 | Info | '/transaction/getCustomerType' | 
01:24:38.536 | Info | '/transaction/createCustomerType' | 
01:24:38.637 | Info | ({}) | 
01:24:39.876 | Info | '/transaction/createCustomerType' | 
01:24:39.879 | Info | ({}) | 
01:25:13.028 | Info | '/transaction/createCustomerType' | 
01:25:13.125 | Info | ({}) | 
01:25:56.578 | Info | '/transaction/createCustomerType' | 
01:25:56.582 | Info | ({}) | 
01:26:31.400 | Info | '/transaction/createCustomerType' | 
01:26:31.403 | Info | ({}) | 
01:26:33.373 | Info | '/transaction/createCustomerType' | 
01:26:33.375 | Info | ({}) | 
01:27:49.414 | Info | '/transaction/createCustomerType' | 
01:27:49.417 | Info | ({}) | 
01:27:51.278 | Info | '/transaction/createCustomerType' | 
01:27:51.281 | Info | ({}) | 
01:28:35.485 | Info | '/transaction/createCustomerType' | 
01:28:35.489 | Info | ({}) | 
01:28:51.444 | Info | '/transaction/createCustomerType' | 
01:28:51.460 | Info | ({}) | 
