11:10:28.311 | Info | '/api/user/login' | 
11:10:28.874 | Info | ({'message':'connect ECONNREFUSED 127.0.0.1:3306','code':'ECONNREFUSED','errno':-4078,'sqlState':undefined,'sqlMessage':undefined}) | 
11:10:32.024 | Info | '/api/user/login' | 
11:10:32.037 | Info | ({'message':'connect ECONNREFUSED 127.0.0.1:3306','code':'ECONNREFUSED','errno':-4078,'sqlState':undefined,'sqlMessage':undefined}) | 
11:10:56.098 | Info | '/api/user/login' | 
11:10:59.758 | Info | '/transaction/getCustomerType' | 
11:11:06.920 | Info | '/transaction/getCustomersDetails' | 
11:24:26.014 | Info | '/transaction/getCustomersDetails' | 
11:24:51.415 | Info | '/transaction/getCustomersDetails' | 
11:24:57.411 | Info | '/transaction/getCustomersDetails' | 
11:25:01.407 | Info | '/transaction/getCustomersDetails' | 
11:25:06.388 | Info | '/transaction/getCustomersDetails' | 
11:25:07.428 | Info | '/transaction/getCustomersDetails' | 
11:25:13.403 | Info | '/transaction/getCustomersDetails' | 
11:25:17.393 | Info | '/transaction/getCustomersDetails' | 
11:25:21.423 | Info | '/transaction/getCustomersDetails' | 
11:25:26.395 | Info | '/transaction/getCustomersDetails' | 
11:25:27.420 | Info | '/transaction/getCustomersDetails' | 
11:25:31.404 | Info | '/transaction/getCustomersDetails' | 
11:25:36.417 | Info | '/transaction/getCustomersDetails' | 
11:25:41.401 | Info | '/transaction/getCustomersDetails' | 
11:25:51.415 | Info | '/transaction/getCustomersDetails' | 
11:25:55.384 | Info | '/transaction/getCustomersDetails' | 
11:25:57.390 | Info | '/transaction/getCustomersDetails' | 
11:26:08.412 | Info | '/transaction/getCustomersDetails' | 
11:26:15.407 | Info | '/transaction/getCustomersDetails' | 
11:26:19.405 | Info | '/transaction/getCustomersDetails' | 
11:27:48.398 | Info | '/transaction/getCustomersDetails' | 
11:38:27.014 | Info | '/transaction/getCustomerType' | 
11:38:30.040 | Info | '/transaction/getCustomersDetails' | 
