02:44:48.245 | Info | '/api/user/login' | 
02:47:35.547 | Info | '/transaction/getComplaintsType' | 
02:48:50.954 | Info | '/transaction/getComplaintsType' | 
02:49:00.619 | Info | '/transaction/getComplaintsType' | 
02:49:14.965 | Info | '/transaction/getComplaintsType' | 
02:49:27.153 | Info | '/transaction/getComplaintsType' | 
02:49:39.404 | Info | '/transaction/getDeviceType' | 
02:49:46.810 | Info | '/transaction/getComplaintsType' | 
02:49:50.294 | Info | '/transaction/getNetworkType' | 
02:49:52.040 | Info | '/transaction/getCustomerType' | 
02:50:01.021 | Info | '/transaction/getCustomerType' | 
02:50:04.190 | Info | '/transaction/getComplaintsType' | 
02:52:37.480 | Info | '/api/user/login' | 
02:52:55.853 | Info | '/transaction/getBillHistory' | 
02:53:02.792 | Info | '/transaction/getNetworkInfo' | 
02:53:04.921 | Info | '/transaction/getMeterInfo' | 
02:53:12.687 | Info | '/transaction/getMyDetails' | 
02:53:14.662 | Info | '/transaction/getMeterInfo' | 
02:53:16.369 | Info | '/transaction/getNetworkInfo' | 
02:53:21.644 | Info | '/transaction/getBillHistory' | 
02:53:28.123 | Info | '/transaction/getNetworkInfo' | 
02:53:30.060 | Info | '/transaction/getMeterInfo' | 
02:53:32.976 | Info | '/transaction/getMyDetails' | 
02:56:26.962 | Info | '/transaction/getComplaintsType' | 
02:56:34.947 | Info | '/transaction/getComplaintsType' | 
02:56:41.961 | Info | '/transaction/getComplaintsType' | 
02:56:47.944 | Info | '/transaction/getComplaintsType' | 
02:56:57.945 | Info | '/transaction/getComplaintsType' | 
02:57:03.949 | Info | '/transaction/getComplaintsType' | 
02:57:09.954 | Info | '/transaction/getComplaintsType' | 
02:57:13.962 | Info | '/transaction/getComplaintsType' | 
02:57:23.947 | Info | '/transaction/getComplaintsType' | 
02:57:29.935 | Info | '/transaction/getComplaintsType' | 
02:57:47.417 | Info | '/transaction/getComplaintsType' | 
03:02:25.736 | Info | '/transaction/getComplaintsType' | 
03:04:22.962 | Info | '/transaction/getComplaintsType' | 
03:04:30.944 | Info | '/transaction/getComplaintsType' | 
03:04:34.937 | Info | '/transaction/getComplaintsType' | 
03:04:40.938 | Info | '/transaction/getComplaintsType' | 
03:04:46.789 | Info | '/transaction/getComplaintsType' | 
03:04:52.757 | Info | '/transaction/getComplaintsType' | 
03:04:59.948 | Info | '/transaction/getComplaintsType' | 
03:05:05.946 | Info | '/transaction/getComplaintsType' | 
03:05:10.945 | Info | '/transaction/getComplaintsType' | 
03:05:19.288 | Info | '/transaction/getComplaintsType' | 
03:05:37.951 | Info | '/transaction/getComplaintsType' | 
03:05:58.950 | Info | '/transaction/getComplaintsType' | 
03:06:05.939 | Info | '/transaction/getComplaintsType' | 
03:06:08.950 | Info | '/transaction/getComplaintsType' | 
03:10:14.952 | Info | '/transaction/getComplaintsType' | 
03:19:59.031 | Info | '/transaction/getComplaintsType' | 
03:22:58.457 | Info | '/transaction/getComplaintsType' | 
03:43:19.383 | Info | '/transaction/getComplaintsType' | 
03:47:19.315 | Info | '/transaction/getComplaintsType' | 
