00:20:29.880 | Info | '/transaction/getCustomersDetails' | 
00:20:40.876 | Info | '/transaction/getCustomersDetails' | 
00:20:44.980 | Info | '/transaction/getCustomerType' | 
00:20:46.573 | Info | '/transaction/getCustomerType' | 
00:20:48.473 | Info | '/transaction/getCustomersDetails' | 
00:22:14.255 | Info | '/transaction/getCustomerType' | 
00:22:16.452 | Info | '/transaction/getCustomersDetails' | 
00:23:05.605 | Info | '/api/user/login' | 
00:23:07.314 | Info | '/transaction/getCustomerType' | 
00:23:09.393 | Info | '/transaction/getCustomersDetails' | 
00:23:17.380 | Info | '/transaction/getCustomerType' | 
00:23:22.421 | Info | '/transaction/getCustomerType' | 
00:23:24.695 | Info | '/transaction/getCustomersDetails' | 
00:23:27.623 | Info | '/transaction/getCustomerType' | 
00:23:30.131 | Info | '/transaction/getCustomersDetails' | 
00:23:32.845 | Info | '/transaction/getCustomersDetails' | 
00:23:33.815 | Info | '/transaction/getCustomersDetails' | 
00:23:35.727 | Info | '/transaction/getCustomerType' | 
00:23:37.864 | Info | '/transaction/getCustomerType' | 
00:23:40.072 | Info | '/transaction/getCustomersDetails' | 
00:23:44.930 | Info | '/transaction/getCustomerType' | 
00:23:46.982 | Info | '/transaction/getCustomersDetails' | 
00:24:05.991 | Info | '/transaction/getCustomerType' | 
00:24:07.016 | Info | '/transaction/getCustomersDetails' | 
00:24:14.135 | Info | '/transaction/getCustomerType' | 
00:26:28.165 | Info | '/transaction/getCustomerType' | 
00:26:30.214 | Info | '/transaction/getCustomersDetails' | 
00:26:51.018 | Info | '/transaction/getCustomerType' | 
00:27:27.856 | Info | '/transaction/getCustomersDetails' | 
00:27:32.359 | Info | '/transaction/getCustomerType' | 
00:27:34.316 | Info | '/transaction/getCustomerType' | 
00:27:45.249 | Info | '/transaction/getCustomerType' | 
00:27:46.999 | Info | '/transaction/getCustomersDetails' | 
00:27:51.613 | Info | '/transaction/getCustomerType' | 
00:27:53.405 | Info | '/transaction/getCustomersDetails' | 
00:28:12.610 | Info | '/transaction/getCustomersDetails' | 
00:28:17.271 | Info | '/transaction/getCustomerType' | 
00:28:19.089 | Info | '/transaction/getCustomerType' | 
00:28:21.331 | Info | '/transaction/getCustomersDetails' | 
00:28:30.839 | Info | '/transaction/getCustomerType' | 
00:28:33.501 | Info | '/transaction/getCustomerType' | 
00:28:34.816 | Info | '/transaction/getCustomerType' | 
00:28:36.217 | Info | '/transaction/getCustomerType' | 
00:28:46.855 | Info | '/transaction/getCustomerType' | 
00:28:56.856 | Info | '/transaction/getCustomerType' | 
00:29:00.933 | Info | '/transaction/getCustomerType' | 
00:29:04.080 | Info | '/transaction/getCustomerType' | 
00:29:05.885 | Info | '/transaction/getCustomerType' | 
00:29:18.871 | Info | '/transaction/getCustomerType' | 
00:29:23.189 | Info | '/transaction/getCustomerType' | 
00:29:25.982 | Info | '/transaction/getCustomerType' | 
00:29:28.296 | Info | '/transaction/getCustomerType' | 
00:29:29.484 | Info | '/transaction/getCustomerType' | 
00:29:31.706 | Info | '/transaction/getCustomerType' | 
00:29:34.121 | Info | '/transaction/getCustomerType' | 
00:29:35.817 | Info | '/transaction/getCustomerType' | 
00:29:46.600 | Info | '/transaction/getCustomerType' | 
00:29:48.534 | Info | '/transaction/getCustomerType' | 
00:30:04.902 | Info | '/transaction/getDeviceType' | 
