00:10:31.588 | Info | '/transaction/getCustomerType' | 
00:20:59.576 | Info | '/transaction/getCustomerType' | 
00:21:01.653 | Info | '/transaction/getCustomerType' | 
00:21:20.920 | Info | '/transaction/getAnalytics' | 
00:21:46.809 | Info | '/transaction/getDeviceType' | 
00:21:57.402 | Info | '/transaction/getCustomerType' | 
00:22:36.680 | Info | '/transaction/getCustomerType' | 
00:23:20.095 | Info | '/transaction/getCustomersDetails' | 
00:23:26.065 | Info | '/transaction/getCustomersDetails' | 
00:23:31.730 | Info | '/transaction/getCustomerType' | 
00:23:34.481 | Info | '/transaction/getCustomersDetails' | 
00:23:51.424 | Info | '/transaction/getCustomerType' | 
00:26:13.784 | Info | '/transaction/getCustomerType' | 
00:26:27.462 | Info | '/transaction/getCustomerType' | 
00:26:28.788 | Info | '/transaction/getCustomerType' | 
00:26:32.063 | Info | '/transaction/getCustomersDetails' | 
00:27:33.126 | Info | '/transaction/getCustomerType' | 
00:28:41.525 | Info | '/transaction/getDeviceType' | 
00:30:13.325 | Info | '/transaction/getCustomerType' | 
00:31:23.617 | Info | '/transaction/getCustomerType' | 
00:31:42.067 | Info | '/transaction/getCustomersDetails' | 
00:31:43.243 | Info | '/transaction/getCustomersDetails' | 
00:31:51.804 | Info | '/transaction/getCustomerType' | 
00:39:39.168 | Info | '/transaction/createCustomerType' | 
00:39:39.209 | Info | '/transaction/getCustomerType' | 
00:39:51.909 | Info | '/transaction/getCustomersDetails' | 
00:40:47.871 | Info | '/transaction/getAnalytics' | 
00:41:32.908 | Info | '/transaction/getAnalytics' | 
00:41:38.577 | Info | '/transaction/getAnalytics' | 
00:42:29.053 | Info | '/transaction/getAnalytics' | 
00:42:35.040 | Info | '/transaction/getAnalytics' | 
00:42:41.031 | Info | '/transaction/getAnalytics' | 
00:43:10.049 | Info | '/transaction/getAnalytics' | 
00:43:18.000 | Info | '/transaction/getAnalytics' | 
00:43:34.032 | Info | '/transaction/getAnalytics' | 
00:45:46.006 | Info | '/transaction/getAnalytics' | 
00:45:47.258 | Info | '/transaction/getAnalytics' | 
00:46:01.118 | Info | '/transaction/getAnalytics' | 
00:46:14.072 | Info | '/transaction/getAnalytics' | 
00:46:17.132 | Info | '/transaction/getAnalytics' | 
00:46:41.046 | Info | '/transaction/getAnalytics' | 
00:46:50.044 | Info | '/transaction/getAnalytics' | 
00:46:59.745 | Info | '/transaction/getAnalytics' | 
00:47:21.086 | Info | '/transaction/getAnalytics' | 
00:49:24.077 | Info | '/transaction/getAnalytics' | 
00:49:30.059 | Info | '/transaction/getAnalytics' | 
00:49:34.070 | Info | '/transaction/getAnalytics' | 
00:49:48.089 | Info | '/transaction/getAnalytics' | 
00:49:54.847 | Info | '/transaction/getAnalytics' | 
00:50:01.225 | Info | '/transaction/getAnalytics' | 
00:51:13.060 | Info | '/transaction/getAnalytics' | 
00:51:19.082 | Info | '/transaction/getAnalytics' | 
00:51:27.616 | Info | '/transaction/getAnalytics' | 
00:52:32.496 | Info | '/transaction/getAnalytics' | 
00:52:38.191 | Info | '/transaction/getAnalytics' | 
00:52:51.062 | Info | '/transaction/getAnalytics' | 
00:53:04.631 | Info | '/transaction/getAnalytics' | 
00:53:58.026 | Info | '/transaction/getAnalytics' | 
00:54:00.080 | Info | '/transaction/getAnalytics' | 
00:54:04.027 | Info | '/transaction/getAnalytics' | 
00:54:22.020 | Info | '/transaction/getAnalytics' | 
00:54:31.774 | Info | '/transaction/getAnalytics' | 
00:55:16.176 | Info | '/transaction/getAnalytics' | 
00:56:31.034 | Info | '/transaction/getAnalytics' | 
00:57:31.024 | Info | '/transaction/getAnalytics' | 
00:58:39.992 | Info | '/transaction/getAnalytics' | 
00:59:51.012 | Info | '/transaction/getAnalytics' | 
00:59:59.008 | Info | '/transaction/getAnalytics' | 
01:01:29.021 | Info | '/transaction/getAnalytics' | 
01:02:16.010 | Info | '/transaction/getAnalytics' | 
01:02:17.078 | Info | '/transaction/getAnalytics' | 
