08:31:06.744 | Info | '/transaction/getDeviceType' | 
08:31:30.412 | Info | '/transaction/getNetworkType' | 
08:33:29.491 | Info | '/transaction/getNetworkType' | 
08:33:54.977 | Info | '/transaction/createNetworkType' | 
08:33:55.004 | Info | ({'message':'Column \'userId\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'userId\' cannot be null'}) | 
08:33:55.052 | Info | '/transaction/getNetworkType' | 
08:46:24.439 | Info | '/transaction/getNetworkType' | 
08:47:21.140 | Info | '/transaction/createNetworkType' | 
08:47:21.360 | Info | ({'message':'Column count doesn\'t match value count at row 1','code':'ER_WRONG_VALUE_COUNT_ON_ROW','errno':1136,'sqlState':'21S01','sqlMessage':'Column count doesn\'t match value count at row 1'}) | 
08:49:52.862 | Info | '/transaction/createNetworkType' | 
08:49:53.324 | Info | ({'message':'Column \'name\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'name\' cannot be null'}) | 
08:50:26.727 | Info | '/transaction/createNetworkType' | 
08:50:41.391 | Info | '/transaction/getNetworkType' | 
08:50:57.816 | Info | '/transaction/getCustomerType' | 
08:50:59.743 | Info | '/transaction/getNetworkType' | 
08:51:08.628 | Info | '/transaction/getNetworkInfo' | 
08:51:15.325 | Info | '/transaction/getNetworkInfo' | 
08:51:41.250 | Info | '/transaction/createNetworkType' | 
08:51:41.274 | Info | ({'message':'Column \'userId\' cannot be null','code':'ER_BAD_NULL_ERROR','errno':1048,'sqlState':'23000','sqlMessage':'Column \'userId\' cannot be null'}) | 
08:51:41.421 | Info | '/transaction/getNetworkType' | 
08:53:44.353 | Info | '/transaction/getNetworkType' | 
08:54:05.618 | Info | '/transaction/createNetworkType' | 
08:54:05.793 | Info | '/transaction/getNetworkType' | 
08:54:17.468 | Info | '/transaction/getNetworkInfo' | 
08:54:22.395 | Info | '/transaction/getNetworkInfo' | 
08:55:45.444 | Info | '/transaction/getNetworkType' | 
08:55:54.579 | Info | '/transaction/getNetworkInfo' | 
08:55:59.401 | Info | '/transaction/getMeterInfo' | 
